occurrence_no,reference_no,ref_author,ref_pubyr,paper_title,paper_authors,paper_publication_year,author_institutions,paper_abstract,enrichment_sources,best_match_score
1421795,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421796,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421797,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421798,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421799,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421800,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421801,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421802,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421803,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421804,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421805,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421806,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421807,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421808,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421809,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421810,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421811,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421812,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421813,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421814,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421815,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421816,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
1421817,67309,Henderson 1983,1983,"Early Ordovician faunas from the Mount Windsor Subrovince, northeastern Queensland",R. A. Henderson,1983,,,pbdb_ref,0.465
